name,ref_energy,n_mol,polymorph
ABEWAG01,-4519.60997360875,4,ABEWAG
ABEWAG,-4521.208585813674,8,ABEWAG
ABEWAG04,-4518.882843472356,8,ABEWAG
ACEMID01,-5131.673992681433,18,ACEMID
ACEMID06,-5131.607930266278,16,ACEMID
ACEMID07,-5130.0078460017685,8,ACEMID
ACRDIN04,-15459.098825570363,4,ACRDIN
ACRDIN08,-15463.888079898034,12,ACRDIN
ACRDIN07,-15459.191192711169,8,ACRDIN
ACRDIN05,-15457.814715268403,8,ACRDIN
ACRDIN06,-15463.5462309701,8,ACRDIN
ACSALA,-13479.843688875126,4,ACSALA
ACSALA24,-13468.983799558882,8,ACSALA
ACSALA13,-13479.549114622236,4,ACSALA
ACSALA12,-13477.248741685,4,ACSALA
AFORIY,-14025.363999883266,6,AFORIY
AFORIY02,-14026.429050199002,12,AFORIY
AFORIY01,-14018.89223168316,6,AFORIY
ALOCOW14,-12925.1367383757,4,ALOCOW
ALOCOW,-12925.3716079518,4,ALOCOW
ALOCOW04,-12925.667212182065,4,ALOCOW
AMBACO06,-10897.807834407253,4,AMBACO
AMBACO01,-10903.56179131388,8,AMBACO
AMBACO03,-10902.320802932369,8,AMBACO
AMBNAC04,-10899.8235073665,4,AMBNAC
AMBNAC14,-10898.4846158967,2,AMBNAC
AMBNAC09,-10906.565097879213,8,AMBNAC
AMBNAC01,-10908.695909162903,8,AMBNAC
AMNTPY,-9725.8156091313,4,AMNTPY
AMNTPY01,-9723.7694208611,4,AMNTPY
AMNTPY02,-9723.4405671762,4,AMNTPY
AMUBIV04,-25953.226824879875,4,AMUBIV
AMUBIV,-25944.621320975926,2,AMUBIV
AMUBIV02,-25943.822069146277,2,AMUBIV
ANISAC03,-11067.630841935965,8,ANISAC
ANISAC,-11068.004006598325,4,ANISAC
ANISAC04,-11067.090723489,4,ANISAC
ANONEX02,-20436.58753347775,2,ANONEX
ANONEX01,-20435.08754486285,2,ANONEX
ANONEX,-20436.637778523927,2,ANONEX
ARUWUG,-8916.358012393468,16,ARUWUG
ARUWUG01,-8912.827134531788,8,ARUWUG
ARUWUG02,-8915.48979175915,4,ARUWUG
ASETOI03,-30851.36372134205,4,ASETOI
ASETOI,-30848.2136298547,4,ASETOI
ASETOI02,-30850.46895973454,4,ASETOI
ASIHIV03,-16350.245953501411,4,ASIHIV
ASIHIV01,-16350.4912335678,4,ASIHIV
ASIHIV,-16353.111355624123,2,ASIHIV
ATTDAZ01,-6055.21299277035,4,ATTDAZ
ATTDAZ04,-5993.841560040612,4,ATTDAZ
ATTDAZ03,-6053.370785850775,4,ATTDAZ
AVIMEY03,-13541.356572715476,2,AVIMEY
AVIMEY,-13542.794339359936,4,AVIMEY
AVIMEY01,-13543.436991330942,8,AVIMEY
AWAXOM02,-41789.75127638757,2,AWAXOM
AWAXOM,-41812.38051804702,2,AWAXOM
AWAXOM01,-41800.7016644126,2,AWAXOM
AZADAG01,-21325.97563879076,4,AZADAG
AZADAG02,-21319.47481815311,8,AZADAG
AZADAG,-21329.03190705805,4,AZADAG
AZIQIM,-1232.1534934660135,144,AZIQIM
AZIQIM02,-1232.2553274939082,144,AZIQIM
AZIQIM01,-1232.7204423746714,144,AZIQIM
BANHOO,-21583.60303053151,4,BANHOO
BANHOO02,-21579.396573986513,4,BANHOO
BANHOO01,-21578.35682605799,4,BANHOO
BAPLOT02,-13694.063411884612,8,BAPLOT
BAPLOT04,-13691.575075795236,4,BAPLOT
BAPLOT01,-13696.941961777062,4,BAPLOT
BAPLOT09,-13696.6526695955,2,BAPLOT
BAPLOT08,-13693.970414334935,4,BAPLOT
BAQHOS,-14768.531427980157,8,BAQHOS
BAQHOS01,-14768.687538177424,4,BAQHOS
